run_id,tag,variant,page,model,rep,status,calls,input_tokens,output_tokens,cached_tokens,cost_usd,wall_seconds,output_chars,denoised_bytes,retention_pct,redactions,leaks,drupal_mentions,html_tag_density,prompt_shadowed
bench_1_reference__small__r1__1788094492,,bench_1_reference,small,,1,completed,0,0,0,0,0,0,16229,6648,100.0,0,0,247,0.0,0
bench_2_raw_html_llm__small__r1__1788094492,,bench_2_raw_html_llm,small,claude-sonnet-4-6,1,completed,1,13671,13616,0,0.245253,0,27884,27096,407.6,0,0,156,29.8,0
bench_3_markdown_llm__small__r1__1788094745,,bench_3_markdown_llm,small,claude-sonnet-4-6,1,completed,1,4916,4707,0,0.085353,0,8581,6276,94.4,0,0,100,0.0,0
bench_4_ai_agent_tool__small__r1__1788094828,,bench_4_ai_agent_tool,small,claude-sonnet-4-6,1,completed,2,40096,13219,0,0.318573,0,8251,6805,102.4,0,6,91,0.0,0
bench_5_react_agent__small__r1__1788095052,,bench_5_react_agent,small,claude-sonnet-4-6,1,completed,3,38400,5735,0,0.201225,0,5658,4694,70.6,0,0,56,0.0,0
bench_5a_react_agent_naive__small__r1__1788095159,,bench_5a_react_agent_naive,small,claude-sonnet-4-6,1,completed,3,34760,2272,0,0.13836,0,3584,3253,48.9,3,0,29,0.0,0
bench_1_reference__medium__r1__1788095208,,bench_1_reference,medium,,1,completed,0,0,0,0,0,0,14488,12550,100.0,0,36,46,1.2,0
bench_2_raw_html_llm__medium__r1__1788095209,,bench_2_raw_html_llm,medium,claude-sonnet-4-6,1,completed,1,59150,2060,0,0.20835,0,8413,8638,68.8,28,1,37,0.0,0
bench_3_markdown_llm__medium__r1__1788095263,,bench_3_markdown_llm,medium,claude-sonnet-4-6,1,completed,1,3502,2086,0,0.041796,0,8437,8678,69.1,30,0,38,0.0,0
bench_4_ai_agent_tool__medium__r1__1788095315,,bench_4_ai_agent_tool,medium,claude-sonnet-4-6,1,completed,2,124193,5189,0,0.450414,0,9905,10138,80.8,29,0,37,0.0,0
bench_5_react_agent__medium__r1__1788095426,,bench_5_react_agent,medium,claude-sonnet-4-6,1,completed,3,141783,6523,0,0.523194,0,10721,10945,87.2,28,2,38,0.0,0
bench_5a_react_agent_naive__medium__r1__1788095581,,bench_5a_react_agent_naive,medium,claude-sonnet-4-6,1,completed,3,140203,4829,0,0.493044,0,8439,8672,69.1,29,0,37,0.0,0
bench_1_reference__large__r1__1788095689,,bench_1_reference,large,,1,completed,0,0,0,0,0,0,101042,50082,100.0,0,5,664,0.3,0
bench_0_floor__small__r1__1788099734,smoke,bench_0_floor,small,,1,completed,0,0,0,0,0,1.07,28,28,0.4,0,0,1,0.0,0
bench_2_raw_html_llm__large__r1__1788099671,fill-large,bench_2_raw_html_llm,large,claude-sonnet-4-6,1,completed,1,211994,7244,0,0.744642,165.1,21764,21807,43.5,4,2,160,0.0,0
bench_3_markdown_llm__large__r1__1788099836,fill-large,bench_3_markdown_llm,large,claude-sonnet-4-6,1,completed,1,34822,22585,0,0.443241,397.99,46897,41931,83.7,2,2,379,0.0,0
bench_4_ai_agent_tool__large__r1__1788100234,fill-large,bench_4_ai_agent_tool,large,claude-sonnet-4-6,1,completed,2,432407,7517,0,1.409976,163.56,13043,13051,26.1,0,14,103,0.0,0
bench_5_react_agent__large__r1__1788100397,fill-large,bench_5_react_agent,large,claude-sonnet-4-6,1,failed,3,503925,26263,0,1.90572,593.39,0,0,,0,0,0,,0
bench_5a_react_agent_naive__large__r1__1788100991,fill-large,bench_5a_react_agent_naive,large,claude-sonnet-4-6,1,completed,3,487871,10819,0,1.625898,303.94,20533,20615,41.2,9,7,152,0.0,0
bench_0_floor__small__r1__1788101314,overhead-probe,bench_0_floor,small,,1,completed,0,0,0,0,0,0.18,28,28,0.4,0,0,1,0.0,0
bench_1_reference__small__r1__1788101314,overhead-probe,bench_1_reference,small,,1,completed,0,0,0,0,0,1.22,16229,6648,100.0,0,0,247,0.0,0
bench_0_floor__medium__r1__1788101315,overhead-probe,bench_0_floor,medium,,1,completed,0,0,0,0,0,0.03,49,49,0.4,0,1,1,0.0,0
bench_1_reference__medium__r1__1788101316,overhead-probe,bench_1_reference,medium,,1,completed,0,0,0,0,0,1.56,14488,12550,100.0,0,36,46,1.2,0
bench_0_floor__large__r1__1788101317,overhead-probe,bench_0_floor,large,,1,completed,0,0,0,0,0,0.01,36,36,0.1,0,0,1,0.0,0
bench_1_reference__large__r1__1788101317,overhead-probe,bench_1_reference,large,,1,completed,0,0,0,0,0,0.73,101042,50082,100.0,0,5,664,0.3,0
bench_0_floor__small__r2__1788101318,overhead-probe,bench_0_floor,small,,2,completed,0,0,0,0,0,0.04,28,28,0.4,0,0,1,0.0,0
