run_id,tag,variant,page,model,rep,status,prompt_shadowed,calls,input_tokens,output_tokens,cost_usd,wall_seconds,output_chars,v1_leaks,v1_redactions,v1_drupal,v1_retention,g0_delivered,g1_format,g2_scope,html_density,fenced,recall,precision,subject,fidelity,fabrication,structure,gold_sents,gold_found,out_sents,out_in_gold,out_chrome,out_fabricated,gold_targets,glyphs,glyph_correct,glyph_protected,glyph_other,glyph_chrome,glyph_ambiguous,leaks,leaks_chrome,drupal_kept,heads_gold,heads_found,v2_class
bench_2_raw_html_llm__small__r1__1788094492,,bench_2_raw_html_llm,small,claude-sonnet-4-6,1,completed,0,1,13671,13616,0.245253,0,27884,0,0,156,407.6,1,0,0,29.84,0,1.0,1.0,1.0,0.658,0.682,0.0,38,25,88,23,5,60,0,0,0,0,0,0,0,0,0,173,8,0,format
bench_3_markdown_llm__small__r1__1788094745,,bench_3_markdown_llm,small,claude-sonnet-4-6,1,completed,0,1,4916,4707,0.085353,0,8581,0,0,100,94.4,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,64,38,26,0,0,0,0,0,0,0,0,0,0,45,8,8,correct
bench_4_ai_agent_tool__small__r1__1788094828,,bench_4_ai_agent_tool,small,claude-sonnet-4-6,1,completed,0,2,40096,13219,0.318573,0,8251,6,0,91,102.4,1,1,1,0.0,0,0.0,1.0,1.0,1.0,0.087,1.0,38,38,69,38,25,6,0,0,0,0,0,0,0,6,0,47,8,8,silent
bench_5_react_agent__small__r1__1788095052,,bench_5_react_agent,small,claude-sonnet-4-6,1,completed,0,3,38400,5735,0.201225,0,5658,0,0,56,70.6,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,49,38,11,0,0,0,0,0,0,0,0,0,0,36,8,8,correct
bench_5a_react_agent_naive__small__r1__1788095159,,bench_5a_react_agent_naive,small,claude-sonnet-4-6,1,completed,0,3,34760,2272,0.13836,0,3584,0,3,29,48.9,1,1,1,0.0,0,1.0,1.0,1.0,0.974,0.0,0.875,38,37,38,37,1,0,0,3,0,0,0,3,0,0,0,25,8,7,correct
bench_2_raw_html_llm__medium__r1__1788095209,,bench_2_raw_html_llm,medium,claude-sonnet-4-6,1,completed,0,1,59150,2060,0.20835,0,8413,1,28,37,68.8,1,1,1,0.0,0,0.966,1.0,1.0,1.0,0.0,1.0,68,68,68,68,0,0,28,28,28,0,0,0,0,1,0,37,10,10,correct
bench_3_markdown_llm__medium__r1__1788095263,,bench_3_markdown_llm,medium,claude-sonnet-4-6,1,completed,0,1,3502,2086,0.041796,0,8437,0,30,38,69.1,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,68,68,68,68,0,0,28,30,30,0,0,0,0,0,0,38,10,10,correct
bench_4_ai_agent_tool__medium__r1__1788095315,,bench_4_ai_agent_tool,medium,claude-sonnet-4-6,1,completed,0,2,124193,5189,0.450414,0,9905,0,29,37,80.8,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.013,1.0,68,68,80,68,11,1,28,29,29,0,0,0,0,0,0,37,10,10,correct
bench_5_react_agent__medium__r1__1788095426,,bench_5_react_agent,medium,claude-sonnet-4-6,1,completed,0,3,141783,6523,0.523194,0,10721,2,28,38,87.2,1,1,1,0.0,0,0.933,1.0,1.0,1.0,0.012,1.0,68,68,85,68,16,1,28,28,28,0,0,0,0,2,0,38,10,10,degraded
bench_5a_react_agent_naive__medium__r1__1788095581,,bench_5a_react_agent_naive,medium,claude-sonnet-4-6,1,completed,0,3,140203,4829,0.493044,0,8439,0,29,37,69.1,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,68,68,68,68,0,0,28,29,29,0,0,0,0,0,0,37,10,10,correct
bench_2_raw_html_llm__large__r1__1788099671,fill-large,bench_2_raw_html_llm,large,claude-sonnet-4-6,1,completed,0,1,211994,7244,0.744642,165.1,21764,2,4,160,43.5,1,1,1,0.0,0,0.0,0.0,1.0,0.971,0.01,1.0,172,167,202,169,31,2,0,4,0,0,4,0,0,1,0,167,19,19,silent
bench_3_markdown_llm__large__r1__1788099836,fill-large,bench_3_markdown_llm,large,claude-sonnet-4-6,1,completed,0,1,34822,22585,0.443241,397.99,46897,2,2,379,83.7,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.013,1.0,172,172,526,173,346,7,0,2,0,0,0,2,0,0,1,334,19,19,correct
bench_4_ai_agent_tool__large__r1__1788100234,fill-large,bench_4_ai_agent_tool,large,claude-sonnet-4-6,1,completed,0,2,432407,7517,1.409976,163.56,13043,14,0,103,26.1,1,1,1,0.0,0,0.0,1.0,1.0,0.541,0.04,1.0,172,93,126,104,17,5,0,0,0,0,0,0,0,13,0,108,19,19,silent
bench_5_react_agent__large__r1__1788100397,fill-large,bench_5_react_agent,large,claude-sonnet-4-6,1,failed,0,3,503925,26263,1.90572,593.39,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,loud
bench_5a_react_agent_naive__large__r1__1788100991,fill-large,bench_5a_react_agent_naive,large,claude-sonnet-4-6,1,completed,0,3,487871,10819,1.625898,303.94,20533,7,9,152,41.2,1,1,1,0.0,0,0.0,0.0,1.0,0.971,0.023,1.0,172,167,174,168,2,4,0,9,0,0,9,0,0,6,0,159,19,19,silent
bench_1_reference__small__r10__1788101327,overhead-probe,bench_1_reference,small,,10,completed,0,0,0,0,0,0.17,16229,0,0,247,100.0,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,64,38,26,0,0,0,0,0,0,0,0,0,0,45,8,8,correct
bench_1_reference__medium__r10__1788101327,overhead-probe,bench_1_reference,medium,,10,completed,0,0,0,0,0,0.27,14488,36,0,46,100.0,1,1,1,1.24,0,0.0,1.0,1.0,1.0,0.0,1.0,68,68,93,68,25,0,28,0,0,0,0,0,0,30,1,39,10,10,silent
bench_1_reference__large__r10__1788101327,overhead-probe,bench_1_reference,large,,10,completed,0,0,0,0,0,0.69,101042,5,0,664,100.0,1,1,1,0.26,0,1.0,1.0,1.0,1.0,0.0,1.0,172,172,565,173,392,0,0,0,0,0,0,0,0,0,3,337,19,19,correct
bench_6_agent_autonomous__small__r1__1788110255,bench6-smoke,bench_6_agent_autonomous,small,claude-sonnet-4-6,1,completed,0,3,34564,5370,0.184242,95.22,5620,0,0,56,70.4,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,49,38,11,0,0,0,0,0,0,0,0,0,0,36,8,8,correct
bench_6_agent_autonomous__medium__r1__1788110386,bench6-fill,bench_6_agent_autonomous,medium,claude-sonnet-4-6,1,completed,0,3,125833,5512,0.460179,127.55,10644,1,28,37,86.6,1,1,1,0.0,0,0.966,1.0,1.0,1.0,0.0,1.0,68,68,85,68,17,0,28,28,28,0,0,0,0,1,0,37,10,10,correct
bench_6_agent_autonomous__large__r1__1788110513,bench6-fill,bench_6_agent_autonomous,large,claude-sonnet-4-6,1,completed,0,3,452913,27431,1.770204,555.02,37306,2,2,329,74.5,1,1,1,0.0,0,1.0,1.0,1.0,0.971,0.008,1.0,172,167,492,169,319,4,0,2,0,0,0,2,0,0,1,330,19,19,correct
bench_5_react_agent__large__r1__1788112643,post-patch-10mb,bench_5_react_agent,large,claude-sonnet-4-6,1,completed,0,3,503345,25694,1.895445,553.24,37478,2,2,327,74.9,1,1,1,0.0,0,1.0,1.0,1.0,0.977,0.006,1.0,172,168,488,168,317,3,0,2,0,0,0,2,0,0,1,328,19,19,correct
bench_3_markdown_llm__small__r1__1788116518,smoke-haiku,bench_3_markdown_llm,small,claude-haiku-4-5-20251001,1,completed,0,1,4915,3930,0.024565,46.86,8009,0,0,89,85.8,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,61,38,23,0,0,0,0,0,0,0,0,0,0,41,8,8,correct
bench_6_agent_autonomous__small__r1__1788116565,smoke-haiku,bench_6_agent_autonomous,small,claude-haiku-4-5-20251001,1,completed,0,3,41984,15218,0.118074,166.07,5588,0,0,55,69.6,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,48,38,10,0,0,0,0,0,0,0,0,0,0,35,8,8,correct
bench_2_raw_html_llm__small__r1__1788116759,matrix-claude-haiku-4-5-20251001,bench_2_raw_html_llm,small,claude-haiku-4-5-20251001,1,completed,0,1,13675,13652,0.081935,127.84,27872,0,6,150,408.1,1,0,0,29.85,0,1.0,0.0,1.0,0.658,0.682,0.0,38,25,88,23,5,60,0,6,0,0,6,0,0,0,0,167,8,0,format
